time_sec,dominant_emotion,scores
27,happy,"{'angry': 0.00016161680270357687, 'disgust': 7.219401992689238e-09, 'fear': 4.4639347514959304e-05, 'happy': 96.84972800615692, 'sad': 0.0017817881293535414, 'surprise': 0.06907669935206183, 'neutral': 3.079204266762225}"
28,neutral,"{'angry': 4.824020713567734, 'disgust': 0.038276586565189064, 'fear': 12.25874200463295, 'happy': 1.2794002890586853, 'sad': 13.346423208713531, 'surprise': 5.03496490418911, 'neutral': 63.218170404434204}"
29,sad,"{'angry': 0.35694174002856016, 'disgust': 2.5546052384584073e-06, 'fear': 7.059209793806076, 'happy': 0.00782380739110522, 'sad': 59.58673357963562, 'surprise': 0.059705611784011126, 'neutral': 32.92958438396454}"
30,sad,"{'angry': 0.31488039530813694, 'disgust': 5.268904867961055e-07, 'fear': 15.765273571014404, 'happy': 0.0347507419064641, 'sad': 83.4884524345398, 'surprise': 0.03687499847728759, 'neutral': 0.3597703529521823}"
31,sad,"{'angry': 0.5149453412741423, 'disgust': 1.0970887531769336e-07, 'fear': 36.264875531196594, 'happy': 0.3521142993122339, 'sad': 62.22822666168213, 'surprise': 0.2757783979177475, 'neutral': 0.3640612354502082}"
32,sad,"{'angry': 2.5520922616124153, 'disgust': 0.0008407186214753892, 'fear': 11.487997323274612, 'happy': 0.06163170910440385, 'sad': 82.4449360370636, 'surprise': 0.021085841581225395, 'neutral': 3.431418538093567}"
33,sad,"{'angry': 1.921413394594991, 'disgust': 0.00031400747555271113, 'fear': 18.656055251124815, 'happy': 0.13978511229739263, 'sad': 39.5301454979268, 'surprise': 4.540763693497401, 'neutral': 35.21152348587057}"
34,fear,"{'angry': 0.004247859254268944, 'disgust': 1.926497700415069e-05, 'fear': 78.26821467063252, 'happy': 0.00021809989576760058, 'sad': 5.381329461177652, 'surprise': 0.0011843854233668334, 'neutral': 16.344780761625675}"
35,fear,"{'angry': 5.2389418669918086e-05, 'disgust': 4.407665205041766e-09, 'fear': 69.64300870895386, 'happy': 2.8851232514170988e-05, 'sad': 16.46290421485901, 'surprise': 2.5496748889963783e-05, 'neutral': 13.893984258174896}"
36,sad,"{'angry': 1.2865478008417965, 'disgust': 0.0005060624363662172, 'fear': 6.836396863245777, 'happy': 0.0010130697468344252, 'sad': 90.00162422666695, 'surprise': 0.0004195060478130002, 'neutral': 1.8734936787780332}"
37,happy,"{'angry': 5.482461389691334e-06, 'disgust': 5.927871936685592e-11, 'fear': 6.779457470928287e-05, 'happy': 97.84751521632165, 'sad': 0.0006171284807752564, 'surprise': 0.028656695465583828, 'neutral': 2.1231375037513676}"
38,happy,"{'angry': 0.0005023731163633097, 'disgust': 4.86450631016621e-08, 'fear': 0.08698210522239537, 'happy': 99.88715647978523, 'sad': 0.004391935988523907, 'surprise': 0.01766736055092055, 'neutral': 0.0033047521506707534}"
39,neutral,"{'angry': 1.083364151418209, 'disgust': 5.9432181842566933e-05, 'fear': 21.387916803359985, 'happy': 0.45989956706762314, 'sad': 33.63127112388611, 'surprise': 3.646044060587883, 'neutral': 39.791443943977356}"
40,fear,"{'angry': 1.7833277319875083, 'disgust': 0.00025151302182501714, 'fear': 52.48377293541754, 'happy': 0.09096258516124366, 'sad': 44.65802375578597, 'surprise': 0.3965024363693671, 'neutral': 0.5871555999331951}"
41,sad,"{'angry': 2.6385683566331863, 'disgust': 5.115559886803567e-06, 'fear': 37.56049573421478, 'happy': 0.01676888350630179, 'sad': 58.604538440704346, 'surprise': 0.2962760627269745, 'neutral': 0.8833452127873898}"
42,sad,"{'angry': 5.361589044332504, 'disgust': 5.3351823225966655e-05, 'fear': 30.972838401794434, 'happy': 0.004797122164745815, 'sad': 61.65180802345276, 'surprise': 0.06388335023075342, 'neutral': 1.945030502974987}"
43,neutral,"{'angry': 9.629191666249426e-07, 'disgust': 9.673623799786105e-12, 'fear': 20.489326119422913, 'happy': 2.4712281998517938e-06, 'sad': 3.3378470689058304, 'surprise': 6.454624781326856e-05, 'neutral': 76.17276310920715}"
44,sad,"{'angry': 1.4678412289989542e-06, 'disgust': 2.4525965104200948e-15, 'fear': 2.77277961846833, 'happy': 1.4595650724484806e-08, 'sad': 97.06578885724677, 'surprise': 2.4899964536236516e-09, 'neutral': 0.16142336357180911}"
45,happy,"{'angry': 0.007394719432340935, 'disgust': 9.711950355040244e-06, 'fear': 0.037020890158601105, 'happy': 95.49986720085144, 'sad': 0.10675253579393029, 'surprise': 1.0630005970597267, 'neutral': 3.285955637693405}"
46,happy,"{'angry': 0.0001639505269346607, 'disgust': 6.1760875653418e-07, 'fear': 0.02063275874405779, 'happy': 94.12994349777362, 'sad': 0.038299013349355066, 'surprise': 0.09192018153415213, 'neutral': 5.719035087170308}"
47,neutral,"{'angry': 2.4136897176504135, 'disgust': 0.0007431132871715818, 'fear': 7.776267826557159, 'happy': 2.720852941274643, 'sad': 11.432287096977234, 'surprise': 0.14316481538116932, 'neutral': 75.51299333572388}"
48,sad,"{'angry': 6.435827549447271, 'disgust': 0.6863871532760354, 'fear': 24.912109965807794, 'happy': 4.562417689705949, 'sad': 53.194526028306846, 'surprise': 0.8343021882654541, 'neutral': 9.374429844285837}"
49,angry,"{'angry': 62.84597362923937, 'disgust': 0.0013637823224110647, 'fear': 16.775233533950622, 'happy': 0.005552975264582006, 'sad': 17.864855484383643, 'surprise': 0.0060650163550655415, 'neutral': 2.5009495018780825}"
